iter	Passed	Remaining
0	0	53
1	0	44
2	1	45
3	1	40
4	2	39
5	2	38
6	2	36
7	3	35
8	3	34
9	3	33
10	4	33
11	4	32
12	4	32
13	5	31
14	5	31
15	5	30
16	6	29
17	6	29
18	6	28
19	7	29
20	7	29
21	8	29
22	8	28
23	9	28
24	9	28
25	10	28
26	10	28
27	11	28
28	11	27
29	11	27
30	12	26
31	12	26
32	12	25
33	13	25
34	13	24
35	13	24
36	14	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	21
42	16	21
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	22	15
59	22	15
60	22	14
61	23	14
62	23	13
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	28	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	30	6
83	31	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	35	0
98	36	0
99	36	0
